edgeID,startNode,endNode
BHALL00502_BDEPT00302,BHALL00502,BDEPT00302
DHALL02502_DEXIT00102,DHALL02502,DEXIT00102
IHALL01003_IHALL01103,IHALL01003,IHALL01103
EHALL02501_EHALL02801,EHALL02501,EHALL02801
CDEPT003L1_CHALL014L1,CDEPT003L1,CHALL014L1
FHALL02501_FHALL02601,FHALL02501,FHALL02601
GLABS003L2_GREST004L2,GLABS003L2,GREST004L2
DHALL03702_DHALL03802,DHALL03702,DHALL03802
DHALL05302_DHALL05402,DHALL05302,DHALL05402
AHALL00503_AHALL00403,AHALL00503,AHALL00403
DHALL03302_DHALL03402,DHALL03302,DHALL03402
WHALL00902_GHALL03702,WHALL00902,GHALL03702
ACONF00102_AHALL00102,ACONF00102,AHALL00102
GHALL02101_GHALL02801,GHALL02101,GHALL02801
bPARK01301_bPARK01601,bPARK01301,bPARK01601
HHALL00702_HSTAI00202,HHALL00702,HSTAI00202
HHALL01103_HDEPT00203,HHALL01103,HDEPT00203
BSTAI00502_BDEPT00702,BSTAI00502,BDEPT00702
WELEV00HL1_WELEV00H03,WELEV00HL1,WELEV00H03
DHALL05102_DSTAI00802,DHALL05102,DSTAI00802
GHALL03702_GHALL03302,GHALL03702,GHALL03302
WELEV00HL1_WELEV00H02,WELEV00HL1,WELEV00H02
WELEV00HL1_WELEV00H01,WELEV00HL1,WELEV00H01
DHALL01102_DHALL01202,DHALL01102,DHALL01202
DHALL02702_DINFO00102,DHALL02702,DINFO00102
IHALL00403_IREST00203,IHALL00403,IREST00203
DHALL03002_DREST00102,DHALL03002,DREST00102
BHALL00302_WELEV00K02,BHALL00302,WELEV00K02
BCONF00102_BHALL03402,BCONF00102,BHALL03402
GHALL00601_GSTAI01301,GHALL00601,GSTAI01301
WELEV00J02_WELEV00J03,WELEV00J02,WELEV00J03
AHALL00701_AHALL00501,AHALL00701,AHALL00501
BSTAI00802_ESTAI00401,BSTAI00802,ESTAI00401
DHALL01202_DCONF00102,DHALL01202,DCONF00102
GHALL03402_GHALL02902,GHALL03402,GHALL02902
BINFO00202_WELEV00F02,BINFO00202,WELEV00F02
AELEV00S03_AHALL00103,AELEV00S03,AHALL00103
EDEPT00201_EDEPT00301,EDEPT00201,EDEPT00301
IHALL01303_IREST00403,IHALL01303,IREST00403
HHALL00502_HRETL00302,HHALL00502,HRETL00302
HHALL00602_HRETL00302,HHALL00602,HRETL00302
BHALL02102_BSERV00102,BHALL02102,BSERV00102
